DATE,OPEN,HIGH,LOW,CLOSE,NUM_TRADES,VOLUME,WAPRICE
2016-12-28,159646.69,159646.69,159646.69,159646.69,1,0.0,0.0
2017-01-04,158952.36,158952.36,158952.36,158952.36,1,0.0,0.0
2017-01-11,158470.18,158470.18,158470.18,158470.18,1,0.0,0.0
2017-01-18,157778.75,157778.75,157778.75,157778.75,1,0.0,0.0
2017-01-25,157832.09,157832.09,157832.09,157832.09,1,0.0,0.0
2017-02-01,159664.11,159664.11,159664.11,159664.11,1,0.0,0.0
2017-02-08,159020.3,159020.3,159020.3,159020.3,1,0.0,0.0
2017-02-15,159135.45,159135.45,159135.45,159135.45,1,0.0,0.0
2017-02-22,160328.31,160328.31,160328.31,160328.31,1,0.0,0.0
2017-03-01,159480.39,159480.39,159480.39,159480.39,1,0.0,0.0
2017-03-08,160969.3,160969.3,160969.3,160969.3,1,0.0,0.0
2017-03-15,161290.53,161290.53,161290.53,161290.53,1,0.0,0.0
2017-03-22,160626.76,160626.76,160626.76,160626.76,1,0.0,0.0
2017-03-29,159647.91,159647.91,159647.91,159647.91,1,0.0,0.0
2017-04-05,159775.14,159775.14,159775.14,159775.14,1,0.0,0.0
2017-04-12,158288.8,158288.8,158288.8,158288.8,1,0.0,0.0
2017-04-19,158677.63,158677.63,158677.63,158677.63,1,0.0,0.0
2017-04-26,159314.81,159314.81,159314.81,159314.81,1,0.0,0.0
2017-05-03,158496.88,158496.88,158496.88,158496.88,1,0.0,0.0
2017-05-10,158571.02,158571.02,158571.02,158571.02,1,0.0,0.0
2017-05-17,157885.33,157885.33,157885.33,157885.33,1,0.0,0.0
2017-05-24,157767.2,157767.2,157767.2,157767.2,1,0.0,0.0
2017-05-31,156256.45,156256.45,156256.45,156256.45,1,0.0,0.0
2017-06-07,156792.59,156792.59,156792.59,156792.59,1,0.0,0.0
2017-06-14,157168.96,157168.96,157168.96,157168.96,1,0.0,0.0
2017-06-21,157126.29,157126.29,157126.29,157126.29,1,0.0,0.0
2017-06-28,158539.88,158539.88,158539.88,158539.88,1,0.0,0.0
2017-07-05,158497.8,158497.8,158497.8,158497.8,1,0.0,0.0
2017-07-12,157889.15,157889.15,157889.15,157889.15,1,0.0,0.0
2017-07-19,158302.11,158302.11,158302.11,158302.11,1,0.0,0.0
2017-07-26,158459.89,158459.89,158459.89,158459.89,1,0.0,0.0
2017-08-02,159505.6,159505.6,159505.6,159505.6,1,0.0,0.0
2017-08-09,159464.2,159464.2,159464.2,159464.2,1,0.0,0.0
2017-08-16,158500.09,158500.09,158500.09,158500.09,1,0.0,0.0
2017-08-23,156225.8,156225.8,156225.8,156225.8,1,0.0,0.0
2017-08-30,155436.73,155436.73,155436.73,155436.73,1,0.0,0.0
2017-09-06,156752.92,156752.92,156752.92,156752.92,1,0.0,0.0
2017-09-13,156658.86,156658.86,156658.86,156658.86,1,0.0,0.0
2017-09-20,157844.88,157844.88,157844.88,157844.88,1,0.0,0.0
2017-09-27,158431.64,158431.64,158431.64,158431.64,1,0.0,0.0
2017-10-04,157729.48,157729.48,157729.48,157729.48,1,0.0,0.0
2017-10-11,157856.88,157856.88,157856.88,157856.88,1,0.0,0.0
2017-10-18,158598.61,158598.61,158598.61,158598.61,1,0.0,0.0
2017-10-25,158427.57,158427.57,158427.57,158427.57,1,0.0,0.0
2017-11-01,157918.22,157918.22,157918.22,157918.22,1,0.0,0.0
2017-11-08,158508.82,158508.82,158508.82,158508.82,1,0.0,0.0
2017-11-15,158024.43,158024.43,158024.43,158024.43,1,0.0,0.0
2017-11-22,156617.47,156617.47,156617.47,156617.47,1,0.0,0.0
2017-11-29,156166.4,156166.4,156166.4,156166.4,1,0.0,0.0
2017-12-06,155967.04,155967.04,155967.04,155967.04,1,0.0,0.0
2017-12-13,155622.97,155622.97,155622.97,155622.97,1,0.0,0.0
2017-12-20,156218.27,156218.27,156218.27,156218.27,1,0.0,0.0
2017-12-27,157586.05,157586.05,157586.05,157586.05,1,0.0,0.0
2018-01-03,157039.44,157039.44,157039.44,157039.44,1,0.0,0.0
2018-01-10,156989.17,156989.17,156989.17,156989.17,1,0.0,0.0
2018-01-17,156986.15,156986.15,156986.15,156986.15,1,0.0,0.0
2018-01-24,155992.16,155992.16,155992.16,155992.16,1,0.0,0.0
2018-01-31,157317.44,157317.44,157317.44,157317.44,1,0.0,0.0
2018-02-07,156339.46,156339.46,156339.46,156339.46,1,0.0,0.0
2018-02-14,156917.05,156917.05,156917.05,156917.05,1,0.0,0.0
2018-02-21,157012.77,157012.77,157012.77,157012.77,1,0.0,0.0
2018-02-28,156980.98,156980.98,156980.98,156980.98,1,0.0,0.0
2018-03-07,157414.89,157414.89,157414.89,157414.89,1,0.0,0.0
2018-03-14,158079.46,158079.46,158079.46,158079.46,1,0.0,0.0
2018-03-21,157384.79,157384.79,157384.79,157384.79,1,0.0,0.0
2018-03-28,156769.31,156769.31,156769.31,156769.31,1,0.0,0.0
2018-04-04,156725.55,156725.55,156725.55,156725.55,1,0.0,0.0
2018-04-11,156243.78,156243.78,156243.78,156243.78,1,0.0,0.0
2018-04-18,155408.84,155408.84,155408.84,155408.84,1,0.0,0.0
2018-04-25,157889.29,157889.29,157889.29,157889.29,1,0.0,0.0
2018-05-02,157153.46,157153.46,157153.46,157153.46,1,0.0,0.0
2018-05-09,157449.88,157449.88,157449.88,157449.88,1,0.0,0.0
2018-05-16,158332.85,158332.85,158332.85,158332.85,1,0.0,0.0
2018-05-23,157357.35,157357.35,157357.35,157357.35,1,0.0,0.0
2018-05-30,157700.16,157700.16,157700.16,157700.16,1,0.0,0.0
2018-06-06,158419.99,158419.99,158419.99,158419.99,1,0.0,0.0
2018-06-13,159020.35,159020.35,159020.35,159020.35,1,0.0,0.0
2018-06-20,159287.38,159287.38,159287.38,159287.38,1,0.0,0.0
2018-06-27,158864.34,158864.34,158864.34,158864.34,1,0.0,0.0
2018-07-04,159738.91,159738.91,159738.91,159738.91,1,0.0,0.0
2018-07-11,159218.86,159218.86,159218.86,159218.86,1,0.0,0.0
2018-07-18,159580.07,159580.07,159580.07,159580.07,1,0.0,0.0
2018-07-25,159750.66,159750.66,159750.66,159750.66,1,0.0,0.0
2018-08-01,159190.68,159190.68,159190.68,159190.68,1,0.0,0.0
2018-08-08,159691.82,159691.82,159691.82,159691.82,1,0.0,0.0
2018-08-15,160615.38,160615.38,160615.38,160615.38,1,0.0,0.0
2018-08-22,162970.81,162970.81,162970.81,162970.81,1,0.0,0.0
2018-08-29,162344.23,162344.23,162344.23,162344.23,1,0.0,0.0
2018-09-05,162467.49,162467.49,162467.49,162467.49,1,0.0,0.0
2018-09-12,161753.02,161753.02,161753.02,161753.02,1,0.0,0.0
2018-09-19,160867.26,160867.26,160867.26,160867.26,1,0.0,0.0
2018-09-26,161429.18,161429.18,161429.18,161429.18,1,0.0,0.0
2018-10-03,162619.32,162619.32,162619.32,162619.32,1,0.0,0.0
2018-10-10,163417.03,163417.03,163417.03,163417.03,1,0.0,0.0
2018-10-17,165094.56,165094.56,165094.56,165094.56,1,0.0,0.0
2018-10-24,166180.94,166180.94,166180.94,166180.94,1,0.0,0.0
2018-10-31,166380.4,166380.4,166380.4,166380.4,1,0.0,0.0
2018-11-07,167146.07,167146.07,167146.07,167146.07,1,0.0,0.0
2018-11-14,166358.38,166358.38,166358.38,166358.38,1,0.0,0.0
2018-11-21,167319.51,167319.51,167319.51,167319.51,1,0.0,0.0
2018-11-28,167768.52,167768.52,167768.52,167768.52,1,0.0,0.0
2018-12-05,167599.18,167599.18,167599.18,167599.18,1,0.0,0.0
2018-12-12,168950.26,168950.26,168950.26,168950.26,1,0.0,0.0
2018-12-19,168344.42,168344.42,168344.42,168344.42,1,0.0,0.0
2018-12-26,169104.31,169104.31,169104.31,169104.31,1,0.0,0.0
2019-01-02,169433.38,169433.38,169433.38,169433.38,1,0.0,0.0
2019-01-09,169302.81,169302.81,169302.81,169302.81,1,0.0,0.0
2019-01-16,169302.12,169302.12,169302.12,169302.12,1,0.0,0.0
2019-01-23,169428.08,169428.08,169428.08,169428.08,1,0.0,0.0
2019-01-30,170914.04,170914.04,170914.04,170914.04,1,0.0,0.0
2019-02-06,171341.58,171341.58,171341.58,171341.58,1,0.0,0.0
2019-02-13,170971.62,170971.62,170971.62,170971.62,1,0.0,0.0
2019-02-20,171884.29,171884.29,171884.29,171884.29,1,0.0,0.0
2019-02-27,172979.39,172979.39,172979.39,172979.39,1,0.0,0.0
2019-03-06,172930.86,172930.86,172930.86,172930.86,1,0.0,0.0
2019-03-13,173882.06,173882.06,173882.06,173882.06,1,0.0,0.0
2019-03-20,175594.6,175594.6,175594.6,175594.6,1,0.0,0.0
2019-03-27,175817.59,175817.59,175817.59,175817.59,1,0.0,0.0
2019-04-03,177414.03,177414.03,177414.03,177414.03,1,0.0,0.0
2019-04-10,177950.43,177950.43,177950.43,177950.43,1,0.0,0.0
2019-04-17,177476.03,177476.03,177476.03,177476.03,1,0.0,0.0
2019-04-24,178372.21,178372.21,178372.21,178372.21,1,0.0,0.0
2019-05-01,177801.18,177801.18,177801.18,177801.18,1,0.0,0.0
2019-05-08,176249.37,176249.37,176249.37,176249.37,1,0.0,0.0
2019-05-15,175919.62,175919.62,175919.62,175919.62,1,0.0,0.0
2019-05-22,177685.04,177685.04,177685.04,177685.04,1,0.0,0.0
2019-05-29,179623.44,179623.44,179623.44,179623.44,1,0.0,0.0
2019-06-05,180445.86,180445.86,180445.86,180445.86,1,0.0,0.0
